time_ns,lat,lon,alt
1765227754494123977,42.332883333333335,-71.10371166666667,37.2
1765227755494318321,42.332881666666665,-71.10370833333333,36.5
1765227756500770218,42.33288,-71.10370666666667,36.1
1765227757495802638,42.332876666666664,-71.103705,35.6
1765227758495867569,42.332875,-71.10370166666667,35.2
1765227759492448661,42.33287166666667,-71.10370333333333,35.0
1765227760492899220,42.33287,-71.10370666666667,35.0
1765227761499135039,42.33287166666667,-71.10371833333333,34.9
1765227762492939547,42.33287333333333,-71.103725,34.8
1765227763492492649,42.332876666666664,-71.10373666666666,34.7
1765227764494370798,42.33288,-71.10374833333333,34.6
1765227765492456442,42.33288666666667,-71.10376166666667,34.5
1765227766492445257,42.33289666666667,-71.10378,34.3
1765227767497256497,42.332901666666665,-71.103795,34.2
1765227768494172226,42.332906666666666,-71.10381166666667,34.1
1765227769492448458,42.332908333333336,-71.10382666666666,34.5
1765227770500579457,42.33291333333333,-71.10384333333333,34.4
1765227771499088650,42.33291833333333,-71.10385666666667,34.2
1765227772498825222,42.332925,-71.10387166666666,34.0
1765227773498582752,42.33293,-71.103885,34.1
1765227774494996737,42.33293333333334,-71.1039,34.1
1765227775493659935,42.33294166666667,-71.10391833333334,34.0
1765227776494031512,42.332946666666665,-71.10393333333333,33.9
1765227777499051473,42.332955,-71.10395,33.9
1765227778493028791,42.33296166666667,-71.103965,33.8
1765227779493035329,42.33296833333333,-71.10398333333333,33.8
1765227780494000536,42.332975,-71.104,33.7
1765227781493133825,42.33298166666667,-71.10401333333333,33.6
1765227782498719751,42.33298666666666,-71.10402833333333,33.5
1765227783493037450,42.332993333333334,-71.10404166666666,33.5
1765227784493665870,42.332996666666666,-71.104055,33.4
1765227785491598745,42.33300166666667,-71.10407,33.4
1765227786495590631,42.33300666666667,-71.104085,33.4
1765227787491684838,42.33300833333333,-71.10409666666666,33.5
1765227788500407359,42.33301,-71.10411,33.5
1765227789493988564,42.333013333333334,-71.10412333333333,33.4
1765227790491363943,42.333016666666666,-71.10413833333334,33.4
1765227791498823049,42.33302,-71.10415,33.5
1765227792493056675,42.33302166666667,-71.10416333333333,33.5
1765227793496899068,42.333025,-71.10417666666666,33.4
1765227794498621459,42.33302833333333,-71.10418833333334,33.4
1765227795496940304,42.33303333333333,-71.10420333333333,33.4
1765227796492009936,42.333036666666665,-71.10421833333334,33.4
1765227797494612165,42.33304,-71.10423166666666,33.4
1765227798499538858,42.33304166666667,-71.104245,33.4
1765227799491356195,42.333045,-71.10425833333333,33.4
1765227800493842886,42.33304833333333,-71.10427,33.4
1765227801491890195,42.33305166666667,-71.10428166666667,33.4
1765227802493692762,42.33305333333333,-71.10429,33.3
1765227803498799293,42.333058333333334,-71.10429833333333,33.2
1765227804492223181,42.33306,-71.10430333333333,33.2
1765227805493999251,42.333061666666666,-71.10430833333334,33.2
1765227806492611274,42.333063333333335,-71.10431333333334,33.2
1765227807493731262,42.33306666666667,-71.10432,33.0
1765227808491661370,42.33307,-71.10432666666667,32.9
1765227809498939537,42.33307166666667,-71.10433166666667,32.6
1765227810494370726,42.333075,-71.10433833333333,32.4
1765227811493039838,42.33307666666666,-71.10434166666667,32.3
1765227812498809964,42.33307833333333,-71.104345,32.1
1765227813493124030,42.33307833333333,-71.10434833333333,32.3
1765227814496985196,42.33307833333333,-71.104355,32.4
1765227815498499360,42.33307833333333,-71.10436,32.7
1765227816499242314,42.33307333333333,-71.10435666666666,33.1
1765227817491386963,42.33308,-71.10436333333334,33.6
1765227818495059009,42.33308,-71.10436833333333,34.1
1765227819499053597,42.33307666666666,-71.10436833333333,34.5
1765227820493434545,42.33306666666667,-71.104375,35.0
1765227821493273878,42.333061666666666,-71.10438166666667,35.0
1765227822494238423,42.333055,-71.104385,35.4
1765227823493372008,42.33305166666667,-71.10439166666667,35.8
1765227824500892316,42.33305333333333,-71.10439833333334,36.2
1765227825493973850,42.333056666666664,-71.10440166666666,36.1
1765227826493993939,42.333058333333334,-71.10441,36.5
1765227827493645986,42.333061666666666,-71.10441833333333,36.8
1765227828497092583,42.33307,-71.10442666666667,37.2
1765227829494970672,42.33307,-71.10443666666667,37.2
1765227830501141901,42.33307666666666,-71.10444833333334,37.5
1765227831493412773,42.333075,-71.10445666666666,37.8
1765227832493863327,42.333075,-71.10446333333333,38.1
1765227833497495554,42.33308,-71.10447166666667,38.4
1765227834494276687,42.333083333333335,-71.10448333333333,38.7
1765227835498483043,42.33308666666667,-71.10449666666666,39.1
1765227836499419977,42.333088333333336,-71.10451,39.6
1765227837498871035,42.33309,-71.104525,40.0
1765227838493616168,42.33309166666667,-71.10454,40.5
1765227839493024894,42.33309333333333,-71.10455666666667,41.0
1765227840499057258,42.33309333333333,-71.10457166666667,41.5
1765227841492633767,42.333095,-71.10459,42.0
1765227842492559247,42.33309666666667,-71.10460666666667,42.6
1765227843493538480,42.33309333333333,-71.10461166666667,42.6
1765227941500870871,42.332993333333334,-71.10535333333333,128.0
1765227942500471441,42.332985,-71.10535333333333,128.4
1765227943496626631,42.332991666666665,-71.105345,128.5
1765227944502441548,42.332995,-71.10533666666667,128.9
1765227945495627942,42.332993333333334,-71.10533333333333,129.3
1765227946495726892,42.332985,-71.10533166666667,129.8
1765227947500202351,42.33298666666666,-71.10532833333333,130.3
1765227948496816087,42.33298833333333,-71.10532666666667,130.8
1765227949495711287,42.33299,-71.105325,131.3
1765227950502651419,42.33298666666666,-71.10532166666667,131.1
1765227951495251068,42.33298333333333,-71.10532,131.1
1765227952495964690,42.33298833333333,-71.10532333333333,131.0
1765227953495297727,42.33299,-71.10532,131.1
1765227954497357187,42.33298833333333,-71.10532,131.2
1765227955495579932,42.33299,-71.10531666666667,131.5
1765227956500542774,42.33298666666666,-71.10531,131.8
1765227957500900691,42.33298666666666,-71.10531,132.3
1765227958496053933,42.332993333333334,-71.105315,132.9
1765227959501289361,42.332996666666666,-71.10531666666667,132.8
1765227960497116064,42.332995,-71.105315,133.2
1765227961501721826,42.332998333333336,-71.10531666666667,133.6
1765227962501116912,42.332996666666666,-71.10532,134.1
1765227963496071699,42.332998333333336,-71.10532666666667,134.3
1765227964496412956,42.332996666666666,-71.105325,134.8
1765227965500497345,42.332996666666666,-71.10532833333333,135.4
1765227966497022679,42.332995,-71.10532666666667,135.6
1765227967496139143,42.332993333333334,-71.10532833333333,136.1
1765227968503206124,42.33299,-71.10532833333333,136.3
1765227969496013786,42.33298666666666,-71.10532166666667,136.6
1765227970495568713,42.332985,-71.10531833333333,137.0
1765227971500466691,42.33298,-71.10531333333333,137.4
1765227972497007030,42.33298166666667,-71.105315,137.8
1765227973496040624,42.33297,-71.10531166666667,138.2
1765227974497638724,42.332971666666666,-71.10530333333334,138.6
1765227975496039568,42.332973333333335,-71.10530166666666,139.1
1765227976495964042,42.332975,-71.10529666666666,139.5
1765227977500960567,42.332975,-71.10528833333333,139.4
1765227978503536547,42.332966666666664,-71.10528166666667,139.8
1765227979495601507,42.332965,-71.105275,140.1
1765227980502780789,42.332965,-71.105265,140.5
1765227981496255670,42.33296166666667,-71.10525166666666,140.8
1765227982501003324,42.33296166666667,-71.105245,141.2
1765227983500576218,42.33296,-71.105235,141.5
1765227984497261275,42.33296166666667,-71.10523,141.9
1765227985496046086,42.332965,-71.10522,141.9
1765227986500922535,42.33297,-71.10520833333334,142.2
1765227987496118341,42.33297,-71.10519333333333,142.5
1765227988495439947,42.33296833333333,-71.10518333333333,142.8
1765227989500669773,42.33296833333333,-71.10517,143.1
1765227990497923085,42.33295833333333,-71.10516833333334,143.4
1765227991495646941,42.33295,-71.10517,143.8
1765227992501074228,42.33295666666667,-71.10517166666666,144.2
1765227993496072372,42.33292333333333,-71.10517833333333,144.6
1765227994496106234,42.332925,-71.10518166666667,145.1
1765227995495532637,42.33291,-71.10518166666667,145.6
1765227996497147253,42.33289,-71.10517333333334,146.2
1765227997495596448,42.33288,-71.105165,146.9
1765227998502880327,42.332881666666665,-71.10516166666666,147.6
1765227999501376148,42.332881666666665,-71.10515666666667,148.4
1765228000496312505,42.33287,-71.10514833333333,149.2
1765228001500667172,42.332861666666666,-71.10513833333333,148.6
1765228002498402577,42.33286666666667,-71.10512833333334,149.1
1765228003496505567,42.332865,-71.10512166666666,148.8
1765228004498517898,42.332863333333336,-71.10511333333334,149.1
1765228005501009523,42.33286666666667,-71.105105,149.5
1765228006501189394,42.332861666666666,-71.10509333333333,149.3
1765228007500579890,42.33285166666667,-71.10508666666666,149.6
1765228008497570548,42.33285166666667,-71.10508,150.0
1765228009496108793,42.33285,-71.10507166666666,150.3
1765228010503076305,42.33285,-71.10506833333334,150.6
1765228011496138958,42.33284833333333,-71.10506333333333,150.9
1765228012496298042,42.33284333333334,-71.105055,151.3
1765228013500724343,42.33285,-71.10506,151.7
1765228014496694420,42.332845,-71.10504833333333,152.2
1765228015495639170,42.33284666666667,-71.10504666666667,152.8
1765228016497938052,42.33284333333334,-71.10504666666667,153.3
1765228017496225720,42.33283333333333,-71.10504833333333,153.9
1765228018496150641,42.33283333333333,-71.10505333333333,154.5
1765228019500727446,42.332825,-71.10506,155.2
1765228020502353622,42.33282666666667,-71.10505833333333,155.9
1765228021496274367,42.332813333333334,-71.10505166666667,156.6
1765228022501144342,42.33280166666667,-71.10504666666667,157.3
1765228023496179882,42.33280166666667,-71.10504,156.7
1765228024496183015,42.3328,-71.10502833333334,157.2
1765228025496109233,42.3328,-71.10502,156.8
1765228026502122588,42.332798333333336,-71.10500833333333,157.1
1765228027500975471,42.33278833333333,-71.10499666666666,157.4
1765228028502885361,42.33279666666667,-71.10497333333333,157.7
1765228029496378611,42.332791666666665,-71.10496333333333,157.5
1765228030495928040,42.33278833333333,-71.10495333333333,157.8
1765228031500695354,42.33278833333333,-71.104945,158.1
1765228032497087903,42.33278833333333,-71.10493333333334,158.4
1765228033497052835,42.33278333333333,-71.10492,158.7
1765228034498256811,42.33276333333333,-71.10490833333333,158.9
1765228035501594792,42.33276166666667,-71.1049,159.2
1765228036496374632,42.332746666666665,-71.10489166666666,159.4
1765228037495722232,42.332735,-71.10488333333333,159.7
1765228038497842588,42.332735,-71.10488666666667,160.0
1765228039496277062,42.332735,-71.10488666666667,160.3
1765228040503223553,42.33273833333333,-71.104885,160.7
1765228041501445570,42.332745,-71.10488166666667,161.2
1765228042496344957,42.33275666666667,-71.10487333333333,161.7
1765228043500772029,42.33276333333333,-71.10486833333333,162.3
1765228044498889006,42.33277666666667,-71.10486333333333,163.0
1765228045496907233,42.332786666666664,-71.10486166666666,163.7
1765228046496030839,42.33280166666667,-71.10485333333334,164.5
1765228047501178498,42.332811666666665,-71.10484333333333,165.4
1765228048501522107,42.332798333333336,-71.10483666666667,166.4
1765228049500884090,42.332785,-71.104835,167.4
1765228050497427277,42.332771666666666,-71.10483333333333,168.5
1765228066496086579,42.33273333333333,-71.10493666666666,173.5
1765228067495942283,42.33273333333333,-71.10494333333334,174.1
1765228068505031547,42.33273333333333,-71.10494833333334,174.8
1765228069501496246,42.33273833333333,-71.104955,174.7
1765228070503295122,42.332745,-71.10495,175.2
1765228071496457565,42.33275,-71.10495666666667,175.1
1765228072496543606,42.332753333333336,-71.10496166666667,175.5
1765228073501470158,42.33275166666667,-71.104965,175.9
1765228074498478277,42.332746666666665,-71.10497,176.3
1765228075496181774,42.33275,-71.10497,176.8
1765228076496726735,42.332753333333336,-71.10497333333333,177.2
1765228077496518320,42.33275,-71.10496833333333,177.2
1765228078501707958,42.33275,-71.10496833333333,177.6
1765228079496844744,42.33275166666667,-71.10497,177.9
1765228080497961459,42.33275166666667,-71.10496833333333,178.3
1765228081496656836,42.332755,-71.10496333333333,178.3
1765228082501847810,42.33275833333333,-71.10495166666666,178.3
1765228083501550357,42.33276,-71.10493833333334,178.3
1765228084496684271,42.33275833333333,-71.10492666666667,178.5
1765228085501891122,42.33276,-71.10492166666667,178.7
1765228086498548998,42.33275,-71.10492,178.9
1765228087496254877,42.332735,-71.10492166666667,178.8
1765228088499691602,42.33273333333333,-71.10492,179.0
1765228089502009200,42.33273333333333,-71.10492166666667,179.2
1765228090502457294,42.33273333333333,-71.10492,179.4
1765228091501666012,42.33273666666667,-71.104925,179.7
1765228092498023850,42.33274,-71.10492666666667,179.9
1765228093496599943,42.332745,-71.104925,180.2
1765228094499530003,42.332741666666664,-71.10491333333333,180.5
1765228095501963396,42.332745,-71.10491,180.9
