time_ns,ax,ay,az,wx,wy,wz
1765227748812139847,-7.749,-3.708,-4.834,0.0008,0.000466,0.00022
1765227748837246139,-7.755,-3.717,-4.797,0.000667,-0.000656,4.5e-05
1765227748861974847,-7.715,-3.724,-4.786,0.001079,0.000315,-0.002847
1765227748886973597,-7.706,-3.776,-4.834,0.000925,0.001162,0.000762
1765227748911945930,-7.729,-3.761,-4.805,-0.000626,-0.001636,0.000941
1765227748938261682,-7.754,-3.694,-4.823,0.001966,-5.6e-05,1.8e-05
1765227748962774098,-7.748,-3.721,-4.804,0.001429,0.000701,-0.000167
1765227748986642013,-7.727,-3.717,-4.798,-0.000632,-0.00132,5.9e-05
1765227749012643306,-7.719,-3.719,-4.816,0.002023,-0.000628,-0.000287
1765227749036795347,-7.742,-3.715,-4.779,0.000519,0.001829,-7.3e-05
1765227749062598432,-7.716,-3.733,-4.856,-8.5e-05,0.000449,-0.000287
1765227749087560682,-7.719,-3.742,-4.801,-0.000558,0.001082,-0.000654
1765227749112493223,-7.742,-3.703,-4.804,-0.00065,-0.000196,0.001517
1765227749137525390,-7.734,-3.714,-4.832,0.000237,-0.001947,-0.000968
1765227749162459932,-7.719,-3.709,-4.817,-0.000688,-0.002443,0.000267
1765227749187438848,-7.74,-3.716,-4.833,-0.000187,0.001064,-0.000261
1765227749212606765,-7.736,-3.724,-4.833,0.000484,9.4e-05,8.7e-05
1765227749237534057,-7.704,-3.738,-4.804,0.000589,-0.001054,0.000154
1765227749262335474,-7.703,-3.723,-4.844,-0.000561,0.00034,-0.00022
1765227749287335932,-7.748,-3.723,-4.825,0.000947,-0.000877,0.000256
1765227749312296890,-7.752,-3.694,-4.805,0.000674,-0.000611,-0.000233
1765227749337342640,-7.768,-3.718,-4.827,0.001434,0.000353,-0.000477
1765227749362279557,-7.711,-3.703,-4.85,-0.002277,0.001685,0.000356
1765227749387213974,-7.738,-3.717,-4.86,-0.000241,-0.001497,-0.000487
1765227749412142849,-7.734,-3.725,-4.849,0.000203,-0.001148,-8.7e-05
1765227749437240266,-7.736,-3.728,-4.822,0.000193,-0.001439,-0.000474
1765227749462029682,-7.748,-3.707,-4.815,0.001546,-0.00074,0.00129
1765227749487085974,-7.735,-3.729,-4.824,-0.000363,2.5e-05,-0.000298
1765227749512009057,-7.709,-3.716,-4.825,-0.002498,-0.001347,-0.000818
1765227749536988474,-7.722,-3.738,-4.823,0.001536,-0.000805,0.000351
1765227749562102891,-7.729,-3.718,-4.799,0.00336,-7.1e-05,-0.000417
1765227749586996266,-7.736,-3.723,-4.785,0.000749,-0.000269,0.000748
1765227749612017891,-7.731,-3.718,-4.827,-0.002395,-0.000985,0.00081
1765227749636983516,-7.726,-3.705,-4.842,-0.000124,-0.000452,-0.000779
1765227749662936518,-7.724,-3.728,-4.821,0.00212,0.000911,0.000957
1765227749688008351,-7.718,-3.723,-4.798,0.001112,-0.001125,0.000489
1765227749712879184,-7.747,-3.747,-4.773,-0.001671,-0.001381,8.8e-05
1765227749736852016,-7.73,-3.705,-4.837,0.001367,-0.002646,-0.000826
1765227749762797893,-7.755,-3.71,-4.851,-0.000273,-0.000279,-0.000632
1765227749787812226,-7.734,-3.706,-4.833,0.000993,0.00103,-0.001419
1765227749812837851,-7.71,-3.728,-4.789,-0.000621,0.000373,-0.000565
1765227749837802726,-7.721,-3.759,-4.824,-0.001167,0.00077,-0.001193
1765227749862865435,-7.738,-3.717,-4.814,-0.001129,-0.001633,-0.000834
1765227749887821352,-7.736,-3.714,-4.817,-0.001457,-0.000214,0.000823
1765227749912697893,-7.725,-3.703,-4.771,7e-06,0.00066,-0.000845
1765227749937969144,-7.722,-3.683,-4.829,-0.000372,-0.001753,0.000328
1765227749963182561,-7.852,-3.735,-4.826,-0.000473,-0.000774,-0.00136
1765227749988206353,-7.667,-3.709,-4.779,0.002975,-0.001509,0.001198
1765227750013022477,-7.749,-3.733,-4.788,0.000132,-0.0006,-0.003452
1765227750038443228,-7.716,-3.719,-4.827,-0.000681,-0.002754,-5.8e-05
1765227750063194186,-7.673,-3.716,-4.818,0.002956,-0.002267,-0.000298
1765227750088473812,-7.747,-3.688,-4.791,0.000354,-0.000822,0.000195
1765227750113070145,-7.735,-3.721,-4.792,0.00092,-0.000447,0.001171
1765227750138283270,-7.763,-3.751,-4.8,-0.000454,0.000915,-0.000147
1765227750163216812,-7.769,-3.745,-4.829,-0.006554,0.001344,-1.4e-05
1765227750188025978,-7.687,-3.694,-4.807,0.001783,-0.000569,0.000812
1765227750213358312,-7.756,-3.689,-4.831,-0.000474,0.001176,-0.000324
1765227750237386602,-7.7,-3.679,-4.813,-0.000299,-0.001574,-0.000526
1765227750262948562,-7.73,-3.739,-4.824,0.001262,-0.000498,0.001331
1765227750288629396,-7.743,-3.729,-4.763,0.000925,0.001043,-0.000724
1765227750312691353,-7.7,-3.725,-4.792,0.000541,-0.002212,0.001211
1765227750337257644,-7.735,-3.71,-4.838,-0.000868,-0.000505,-0.001835
1765227750362151686,-7.728,-3.691,-4.812,-0.000772,-0.000595,-7.8e-05
1765227750387113811,-7.728,-3.731,-4.826,1.5e-05,-0.000958,0.000433
1765227750413208771,-7.744,-3.731,-4.792,-0.000333,0.000406,-0.001018
1765227750437060019,-7.706,-3.736,-4.824,0.00202,-0.000938,0.000689
1765227750462997438,-7.713,-3.722,-4.811,0.001295,0.000795,-0.001112
1765227750487067145,-7.723,-3.717,-4.817,-0.000214,-0.000933,0.000276
1765227750513104063,-7.721,-3.696,-4.798,0.00096,0.00032,0.000343
1765227750538289647,-7.75,-3.693,-4.834,-0.00048,0.000954,-0.001748
1765227750563442939,-7.756,-3.722,-4.794,-9.3e-05,0.001037,-0.000595
1765227750588032772,-7.752,-3.748,-4.803,7e-05,-0.00019,0.001485
1765227750613269689,-7.731,-3.722,-4.795,0.000603,-0.000818,0.001163
1765227750638524731,-7.752,-3.739,-4.848,0.002183,-0.000856,3.5e-05
1765227750663156272,-7.7,-3.715,-4.839,-0.000756,-0.0001,-0.002341
1765227750688670148,-7.727,-3.72,-4.815,0.000335,-0.000684,-7e-05
1765227750713180814,-7.735,-3.718,-4.826,0.001564,-0.000953,-0.000325
1765227750738564190,-7.734,-3.704,-4.803,0.000288,0.000102,0.000611
1765227750763243106,-7.728,-3.733,-4.821,-0.001132,-0.001857,-0.000752
1765227750788362148,-7.72,-3.717,-4.845,0.000354,-0.001473,-0.000352
1765227750813577024,-7.715,-3.715,-4.82,0.000696,-0.001311,0.000737
1765227750837990606,-7.718,-3.739,-4.824,0.001573,-0.000486,0.000385
1765227750862976356,-7.729,-3.713,-4.815,-0.000289,-0.001024,7.8e-05
1765227750888835608,-7.749,-3.718,-4.814,0.001086,-0.000545,0.000812
1765227750912990732,-7.731,-3.725,-4.826,-0.002054,0.00134,-0.000477
1765227750937380564,-7.731,-3.716,-4.805,7.3e-05,-0.001047,0.000183
1765227750962459273,-7.714,-3.697,-4.801,0.000432,-0.000292,-0.000416
1765227750987938482,-7.716,-3.714,-4.815,0.002138,-0.000148,0.000952
1765227751012901024,-7.698,-3.732,-4.789,0.000607,-4.3e-05,0.000273
1765227751037642440,-7.729,-3.691,-4.794,0.000694,0.000714,-0.000439
1765227751062506690,-7.707,-3.693,-4.804,0.000315,-0.001458,0.00037
1765227751087517148,-7.812,-3.857,-4.928,-0.003753,-0.006378,-0.000861
1765227751112739191,-7.724,-3.637,-4.841,0.002643,0.00052,-0.005828
1765227751137980399,-7.738,-3.698,-4.794,0.000206,-0.006899,0.00941
1765227751162282607,-7.7,-3.747,-4.859,0.001062,0.006841,-0.010765
1765227751187583774,-7.749,-3.747,-4.767,-0.00173,-0.003869,0.004114
1765227751213109608,-7.712,-3.756,-4.823,-0.000135,0.00022,-0.002149
1765227751237045315,-7.746,-3.724,-4.834,-0.001997,0.002306,-0.00343
1765227751262971942,-7.759,-3.725,-4.803,-0.003399,-0.001108,0.00126
1765227751287894067,-7.74,-3.728,-4.781,0.003184,-0.000703,0.001787
1765227751312936609,-7.752,-3.728,-4.826,0.000249,0.000524,-0.001205
1765227751336992441,-7.744,-3.734,-4.804,-0.001004,0.0005,-0.00154
1765227751362945109,-7.707,-3.718,-4.841,0.000632,-0.000935,0.000741
1765227751388296401,-7.713,-3.713,-4.826,-0.000623,0.000368,0.000199
1765227751412790234,-7.723,-3.704,-4.821,0.002576,0.000163,0.000191
1765227751437732359,-7.748,-3.689,-4.828,0.001214,0.000912,-0.000526
1765227751462708859,-7.748,-3.696,-4.764,-0.001138,0.000566,-0.000638
1765227751487900610,-7.736,-3.733,-4.802,-0.00052,-0.000111,-0.000524
1765227751513181569,-7.695,-3.712,-4.82,-0.001012,0.001393,-0.001111
1765227751538175569,-7.703,-3.713,-4.823,-4e-06,-0.000324,-9.7e-05
1765227751562965860,-7.711,-3.716,-4.87,0.003769,-0.000132,0.000503
1765227751588004777,-7.761,-3.69,-4.811,3.9e-05,0.001685,-0.001124
1765227751613216986,-7.731,-3.733,-4.817,0.000274,-0.000133,0.000123
1765227751638995237,-7.702,-3.725,-4.851,-0.001812,0.001521,-0.000232
1765227751663081069,-7.738,-3.74,-4.821,-7.3e-05,-0.001456,0.001453
1765227751688705321,-7.728,-3.711,-4.779,0.002199,-0.000656,-0.000721
1765227751712630694,-7.725,-3.728,-4.803,-0.001154,-0.000381,-0.001245
1765227751740561199,-7.74,-3.696,-4.806,0.000337,-0.001623,-0.00126
1765227751762964486,-7.728,-3.71,-4.832,0.000582,-0.001221,-0.001126
1765227751788081070,-7.742,-3.725,-4.824,-0.000927,-0.000712,-0.001258
1765227751812612778,-7.735,-3.719,-4.82,0.000416,-0.00055,0.000433
1765227751837684278,-7.739,-3.72,-4.83,0.001168,-0.000204,0.000708
1765227751862589361,-7.731,-3.713,-4.834,9.5e-05,-0.001297,0.0007
1765227751887165569,-7.75,-3.728,-4.82,0.000537,-0.00025,-5.1e-05
1765227751912204903,-7.735,-3.721,-4.829,-0.001082,-0.001156,-0.001027
1765227751937414695,-7.728,-3.747,-4.827,0.000839,-0.00051,-0.000404
1765227751963989614,-7.761,-3.718,-4.82,0.001409,-0.000693,0.000211
1765227751987318070,-7.701,-3.708,-4.793,9.6e-05,-0.00078,0.002387
1765227752012959863,-7.78,-3.714,-4.836,0.000543,0.000991,6.3e-05
1765227752036871695,-7.744,-3.694,-4.791,-0.000987,0.002896,-0.004622
1765227752062895905,-7.724,-3.733,-4.848,-1.4e-05,-0.003029,0.004074
1765227752087856822,-7.686,-3.703,-4.829,0.001195,0.001145,-0.001931
1765227752112786530,-7.697,-3.717,-4.797,0.004207,-0.002368,0.005406
1765227752136877779,-7.764,-3.726,-4.789,0.000651,0.001951,-0.001245
1765227752162882072,-7.784,-3.739,-4.731,-0.003819,0.000837,0.000505
1765227752188098073,-7.705,-3.698,-4.856,-0.001108,-0.001256,-0.001926
1765227752212924489,-7.744,-3.722,-4.819,-0.001275,0.001382,-0.004222
1765227752238199823,-7.749,-3.729,-4.8,0.000564,0.000586,0.000323
1765227752262890573,-7.705,-3.733,-4.911,0.005237,-0.003262,0.005876
1765227752287973907,-7.745,-3.7,-4.823,-0.001746,0.001751,-0.004553
1765227752313287407,-7.798,-3.734,-4.834,-0.004678,0.00145,-0.001991
1765227752338065740,-7.749,-3.756,-4.81,0.003102,-0.001892,0.003508
1765227752363132907,-7.712,-3.721,-4.853,0.000103,0.002016,0.0014
1765227752387700324,-7.751,-3.73,-4.785,-0.000246,0.001091,0.001346
1765227752412487990,-7.728,-3.768,-4.816,0.000112,0.001943,-0.000496
1765227752437458740,-7.729,-3.702,-4.846,0.003652,0.001428,-0.000777
1765227752462389449,-7.714,-3.682,-4.833,0.001263,-0.00751,0.00498
1765227752487290032,-7.718,-3.719,-4.84,0.003038,0.002553,-0.005483
1765227752512258157,-7.736,-3.766,-4.816,-0.000222,-0.00495,0.001998
1765227752537286782,-7.703,-3.762,-4.803,0.003398,3.3e-05,0.002556
1765227752562233907,-7.736,-3.712,-4.822,-0.000114,-0.000266,0.00041
1765227752587245283,-7.765,-3.699,-4.797,0.001658,-0.000535,0.001479
1765227752612357283,-7.713,-3.685,-4.846,0.000399,-0.001436,0.000115
1765227752637214616,-7.745,-3.685,-4.853,-0.001783,0.001273,-0.000724
1765227752662235283,-7.729,-3.704,-4.826,0.005734,0.000545,0.000797
1765227752687526700,-7.739,-3.722,-4.832,-8.4e-05,-0.001366,-0.000148
1765227752712675659,-7.717,-3.702,-4.832,-0.00136,-1.2e-05,-3e-06
1765227752738085452,-7.74,-3.705,-4.837,0.000826,-0.002177,-0.000484
1765227752763178702,-7.736,-3.723,-4.825,0.000677,-0.000222,0.001507
1765227752788417828,-7.738,-3.708,-4.843,-0.001176,0.000834,-0.003369
1765227752813588328,-7.742,-3.715,-4.797,-0.000505,0.000451,0.001105
1765227752837428868,-7.728,-3.72,-4.835,0.000191,-0.000882,-0.001379
1765227752863619287,-7.708,-3.702,-4.872,-0.00597,-0.001119,-0.002794
1765227752887403993,-7.672,-3.71,-4.853,0.002594,-0.003494,-0.000329
1765227752913318620,-7.714,-3.701,-4.818,0.000379,-0.004742,-0.002633
1765227752938518412,-7.813,-3.765,-4.762,0.001722,-9e-05,-0.001604
1765227752963243120,-7.753,-3.75,-4.748,-0.000336,0.000379,0.000199
1765227752988321954,-7.729,-3.777,-4.781,-0.001149,0.000101,0.000451
1765227753013727080,-7.698,-3.705,-4.855,-0.001788,0.003259,0.000627
1765227753038290371,-7.686,-3.718,-4.872,-0.000117,0.001244,0.001052
1765227753063254788,-7.739,-3.7,-4.871,0.002684,0.000627,0.000904
1765227753087702412,-7.729,-3.707,-4.827,0.002459,-0.000913,0.002056
1765227753113154330,-7.738,-3.729,-4.793,0.00223,-0.000639,0.000925
1765227753138219205,-7.746,-3.697,-4.793,-0.000475,-0.001494,-0.001455
1765227753162712871,-7.747,-3.726,-4.81,0.00066,-0.000491,-0.000871
1765227753187863163,-7.708,-3.719,-4.797,0.000529,0.001193,0.002096
1765227753213040414,-7.725,-3.715,-4.835,-0.000698,0.000179,0.00256
1765227753237855455,-7.716,-3.713,-4.829,0.000126,-0.002086,-0.000311
1765227753262716705,-7.732,-3.716,-4.845,0.000319,0.000455,-0.000845
1765227753287893622,-7.734,-3.727,-4.84,0.000567,-0.000357,-0.000524
1765227753313065373,-7.757,-3.74,-4.788,0.000126,-0.000546,0.002295
1765227753338260123,-7.72,-3.735,-4.813,0.000277,-0.000792,-0.000352
1765227753363103623,-7.745,-3.713,-4.831,-0.00084,-0.000858,-0.001495
1765227753388078290,-7.666,-3.71,-4.809,-0.000366,0.000514,1.2e-05
1765227753412112039,-7.723,-3.735,-4.824,0.002291,-0.00201,0.002721
1765227753437055872,-7.71,-3.68,-4.814,0.004341,-0.000431,0.000211
1765227753462128914,-7.767,-3.666,-4.819,-0.000119,0.000615,-0.001378
1765227753486936581,-7.702,-3.711,-4.803,-0.000954,-0.001416,-0.00218
1765227753511888289,-7.715,-3.742,-4.819,-0.00087,0.001488,-0.000196
1765227753536904289,-7.666,-3.74,-4.812,0.002371,-0.001268,0.001645
1765227753563187958,-7.723,-3.738,-4.823,0.00125,-0.001244,-0.000109
1765227753586967040,-7.706,-3.673,-4.843,0.001862,-0.001973,-0.000752
1765227753612837958,-7.759,-3.681,-4.831,0.000344,-0.000521,9e-05
1765227753637672500,-7.717,-3.684,-4.792,0.000931,0.000826,-0.00135
1765227753663417460,-7.732,-3.721,-4.819,0.000559,8.4e-05,-0.000282
1765227753687714750,-7.73,-3.739,-4.805,-0.000244,0.001016,-0.001549
1765227753712669959,-7.722,-3.727,-4.838,7.3e-05,-0.000776,0.000963
1765227753737588834,-7.694,-3.706,-4.848,0.001514,-0.001152,0.000597
1765227753762887210,-7.74,-3.707,-4.817,0.001356,-0.001221,0.000489
1765227753787624418,-7.747,-3.71,-4.805,0.00145,-0.003036,0.000948
1765227753812541001,-7.749,-3.712,-4.793,-0.000808,0.000677,-0.000709
1765227753837527543,-7.737,-3.739,-4.832,-0.000788,-0.000136,-0.001269
1765227753862442293,-7.719,-3.74,-4.799,0.001178,-0.001075,0.00048
1765227753887555835,-7.749,-3.738,-4.814,0.001776,0.000935,0.000481
1765227753912491669,-7.701,-3.726,-4.829,0.000333,-0.000706,0.000549
1765227753937411460,-7.705,-3.736,-4.846,-0.000144,-0.00039,-0.001883
1765227753962317294,-7.752,-3.715,-4.821,0.000752,-0.000574,0.000825
1765227753987386502,-7.725,-3.721,-4.779,0.003629,0.000699,0.000787
1765227754012364461,-7.774,-3.751,-4.81,-0.00554,0.007787,0.000699
1765227754037346878,-7.713,-3.753,-4.775,-0.000705,0.002102,0.000373
1765227754062181919,-7.732,-3.727,-4.835,0.003042,0.003107,0.005142
1765227754087174878,-7.731,-3.676,-4.834,0.005073,0.002875,0.003833
1765227754112194378,-7.749,-3.716,-4.913,0.00447,-0.001042,-0.002596
1765227754137135253,-7.768,-3.671,-4.799,0.000392,-0.001482,-0.002678
1765227754162042753,-7.777,-3.698,-4.779,-0.002316,-0.001221,-0.001406
1765227754187014420,-7.707,-3.739,-4.824,-0.003762,0.000199,-0.004825
1765227754212024546,-7.681,-3.743,-4.835,-0.006351,-0.003646,-0.004502
1765227754237003504,-7.695,-3.764,-4.854,-0.003118,-0.003644,-0.004142
1765227754262893839,-7.707,-3.753,-4.799,0.001343,-0.000432,0.00171
1765227754286901879,-7.733,-3.75,-4.861,0.001562,0.000115,0.001683
1765227754312867965,-7.742,-3.702,-4.845,-0.000306,-0.003625,-0.002435
1765227754336883255,-7.734,-3.704,-4.792,-0.000451,-0.002134,-0.001244
1765227754362876257,-7.729,-3.719,-4.766,0.001858,0.001095,0.000943
1765227754386787255,-7.694,-3.696,-4.837,-0.00184,-0.000116,-0.001339
1765227754412790924,-7.728,-3.727,-4.839,-0.001212,-0.001447,-0.002271
1765227754437884299,-7.721,-3.732,-4.798,0.000878,-0.00183,-0.000655
1765227754462850799,-7.734,-3.728,-4.822,0.002371,0.001084,0.002604
1765227754487794091,-7.739,-3.723,-4.852,0.000351,-0.001665,0.000279
1765227754512728675,-7.725,-3.724,-4.833,-0.001568,-0.002651,-0.001644
1765227754537819008,-7.737,-3.724,-4.825,0.000832,0.000169,0.000668
